column,USEFUL,type
admin.month_of_dcc_upload,N,
admin.patient_withdrawal.withdrawn,N,
admin.project_code,N,
admin.year_of_dcc_upload,N,
patient.additional_studies,N,
patient.additional_studies.additional_study.disease_code,N,
patient.additional_studies.additional_study.project_code,N,
patient.age_at_initial_pathologic_diagnosis,Y,continuos
patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision,N,
patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision-2,N,
patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision-3,N,
patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision-4,N,
patient.anatomic_neoplasm_subdivisions.anatomic_neoplasm_subdivision-5,N,
patient.axillary_lymph_node_stage_method_type,N,
patient.axillary_lymph_node_stage_other_method_descriptive_text,N,
patient.bcr_patient_barcode,Y,
patient.bcr_patient_uuid,N,
patient.breast_cancer_surgery_margin_status,N,
patient.breast_carcinoma_estrogen_receptor_status,Y,nominal
patient.breast_carcinoma_immunohistochemistry_er_pos_finding_scale,N,
patient.breast_carcinoma_immunohistochemistry_pos_cell_score,N,
patient.breast_carcinoma_immunohistochemistry_progesterone_receptor_pos_finding_scale,N,
patient.breast_carcinoma_primary_surgical_procedure_name,N,
patient.breast_carcinoma_progesterone_receptor_status,Y,nominal
patient.breast_carcinoma_surgical_procedure_name,Y,nominal
patient.breast_neoplasm_other_surgical_procedure_descriptive_text,N,
patient.cytokeratin_immunohistochemistry_staining_method_micrometastasis_indicator,N,
patient.day_of_form_completion,Y,continuos
patient.days_to_birth,Y,continuos
patient.days_to_death,N,COCO
patient.days_to_initial_pathologic_diagnosis,Y,continuos
patient.days_to_last_followup,Y,continuos
patient.days_to_last_known_alive,N,
patient.distant_metastasis_present_ind2,N,NONO
patient.drugs,N,NONO
patient.drugs.drug-10.bcr_drug_barcode,N,
patient.drugs.drug-10.bcr_drug_uuid,N,
patient.drugs.drug-10.clinical_trail_drug_classification,N,
patient.drugs.drug-10.day_of_form_completion,N,
patient.drugs.drug-10.days_to_drug_therapy_end,N,
patient.drugs.drug-10.days_to_drug_therapy_start,N,
patient.drugs.drug-10.drug_name,N,
patient.drugs.drug-10.measure_of_response,N,
patient.drugs.drug-10.month_of_form_completion,N,
patient.drugs.drug-10.number_cycles,N,
patient.drugs.drug-10.prescribed_dose,N,
patient.drugs.drug-10.prescribed_dose_units,N,
patient.drugs.drug-10.regimen_indication,N,
patient.drugs.drug-10.regimen_indication_notes,N,
patient.drugs.drug-10.regimen_number,N,
patient.drugs.drug-10.route_of_administrations.route_of_administration,N,
patient.drugs.drug-10.therapy_ongoing,N,
patient.drugs.drug-10.therapy_types.therapy_type,N,
patient.drugs.drug-10.therapy_types.therapy_type_notes,N,
patient.drugs.drug-10.total_dose,N,
patient.drugs.drug-10.total_dose_units,N,
patient.drugs.drug-10.tx_on_clinical_trial,N,
patient.drugs.drug-10.year_of_form_completion,N,
patient.drugs.drug-11.bcr_drug_barcode,N,
patient.drugs.drug-11.bcr_drug_uuid,N,
patient.drugs.drug-11.clinical_trail_drug_classification,N,
patient.drugs.drug-11.day_of_form_completion,N,
patient.drugs.drug-11.days_to_drug_therapy_end,N,
patient.drugs.drug-11.days_to_drug_therapy_start,N,
patient.drugs.drug-11.drug_name,N,
patient.drugs.drug-11.measure_of_response,N,
patient.drugs.drug-11.month_of_form_completion,N,
patient.drugs.drug-11.number_cycles,N,
patient.drugs.drug-11.prescribed_dose,N,
patient.drugs.drug-11.prescribed_dose_units,N,
patient.drugs.drug-11.regimen_indication,N,
patient.drugs.drug-11.regimen_indication_notes,N,
patient.drugs.drug-11.regimen_number,N,
patient.drugs.drug-11.route_of_administrations.route_of_administration,N,
patient.drugs.drug-11.therapy_ongoing,N,
patient.drugs.drug-11.therapy_types.therapy_type,N,
patient.drugs.drug-11.therapy_types.therapy_type_notes,N,
patient.drugs.drug-11.total_dose,N,
patient.drugs.drug-11.total_dose_units,N,
patient.drugs.drug-11.tx_on_clinical_trial,N,
patient.drugs.drug-11.year_of_form_completion,N,
patient.drugs.drug-12.bcr_drug_barcode,N,
patient.drugs.drug-12.bcr_drug_uuid,N,
patient.drugs.drug-12.clinical_trail_drug_classification,N,
patient.drugs.drug-12.day_of_form_completion,N,
patient.drugs.drug-12.days_to_drug_therapy_end,N,
patient.drugs.drug-12.days_to_drug_therapy_start,N,
patient.drugs.drug-12.drug_name,N,
patient.drugs.drug-12.measure_of_response,N,
patient.drugs.drug-12.month_of_form_completion,N,
patient.drugs.drug-12.number_cycles,N,
patient.drugs.drug-12.prescribed_dose,N,
patient.drugs.drug-12.prescribed_dose_units,N,
patient.drugs.drug-12.regimen_indication,N,
patient.drugs.drug-12.regimen_indication_notes,N,
patient.drugs.drug-12.regimen_number,N,
patient.drugs.drug-12.route_of_administrations.route_of_administration,N,
