"gene","geneScore"
"NA(22,27]",1.17057784983286
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.216278209087934
"patient.genderfemale",0.206749306103122
"X.clinical.patients..cols..infiltrating.lobular.carcinoma",0.151045656706797
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.14858527903594
"HER2.Final.StatusNegative",0.126809010158349
"X.clinical.patients..cols..other..specify",0.0359216226506309
"X.clinical.patients..cols..Stage.IIB",0.0311569052509856
"X.clinical.patients..cols..Stage.IV",0.0109538055322841
"patient.breast_carcinoma_estrogen_receptor_statusindeterminate",0.00958199128607205
