"gene","geneScore"
"PKHD1L1",0.164417701044351
"BRCA2",0.145260045119128
"SYNE2",0.14147282439707
"GPATCH8",0.129371406034097
"HECTD4",0.128455028365972
"PHF3",0.126909441794015
"JAK2",0.125663909413607
"RYR3",0.122361988257869
"FAM208B",0.120794102741753
"DAB1",0.120381702970165
"ZNF506",0.115661525141697
"ARID1A",0.115555767439554
"MYO5C",0.115521753264991
"ESYT3",0.115174802682084
"MAP1A",0.114220362043922
"KMT2C",0.113718616764176
"MYH6",0.113323543386848
"KIAA0754",0.113088418450679
"DNAH10",0.111863899867969
"POLA1",0.111581280927143
"MDN1",0.111530951272793
"ZNF233",0.111039606059512
"CSMD1",0.110325759630459
"MAGI2",0.110208228750065
"MYO16",0.109917564191136
"WHSC1",0.109846615808313
"EYS",0.109413043298791
"SPEN",0.10940481786963
"SPTBN2",0.109236152959743
"ENPP4",0.108335949876665
"COL12A1",0.107817454317618
"EFCAB12",0.107725789148882
"MRC2",0.107680821762351
"NLRP2",0.107183222784666
"NLRC5",0.106951555728037
"AP2A1",0.106273706168721
"CPZ",0.105704329886024
"FAM193B",0.105426237705859
"FHAD1",0.104758582975283
"POLR3GL",0.104684968892554
"MEFV",0.104533588988453
"KRT17",0.104525003809717
"ENTPD7",0.104463654643872
"ZNF544",0.104192145758879
"CTNND2",0.10418718481298
"UBE2J1",0.104085964939235
"PLCB1",0.103753949938811
"LRSAM1",0.103720368644085
"PPP2R4",0.103587494042141
"OR2T34",0.103402873647279
"WDR26",0.103380205016167
"DOCK4",0.103099919370627
"VPRBP",0.103000163006336
"FAM179A",0.102954046883904
"CHD4",0.102866875657771
"RP11-85G18.6",0.102729295482036
"CTC1",0.102584700967896
"FAM169A",0.102561316078723
"ADPRH",0.10247741418008
"AC022498.1",0.102431723299933
"GPS2",0.102234836876651
"IQCH",0.102015055310835
"LTBP1",0.101827992688408
"ZNF646",0.101693808091632
"SLC45A2",0.101665243319748
"ANK1",0.101611996513184
"MTSS1",0.101587418000578
"SLC13A1",0.101459597070513
"LATS1",0.101364459461282
"CLIP2",0.101171471381273
"NRP1",0.101106794448514
"SLC10A3",0.10097570441106
"ABCA3",0.100910345675256
"OPN4",0.100806817317776
"NEK10",0.100747030975256
"WTAP",0.100543193471099
"NOS1",0.100518011357933
"ARHGAP40",0.100317163382459
"VPS4B",0.100210284209352
"MTIF3",0.0998144536840336
"HSPG2",0.0997596709660312
"GALNT5",0.0997275609505132
"SREBF2",0.0996770052773475
"ZNF90",0.0995677892932354
"ALG10B",0.0995151285845931
"AR",0.0994648614405996
"CNTNAP1",0.0990576054943959
"KIAA0825",0.0989071346323384
"DOCK2",0.0988132903762948
"STK31",0.0981990642941123
"TMEM74",0.0979318388393265
"ARAP1",0.0979095487822906
"ZBTB10",0.097803900291948
"COL6A3",0.0977555472856214
"TENM4",0.0977327460032542
"RP11-1277A3.2",0.0969807995663063
"CACNA2D1",0.096429759525655
"TP53",0.0918426661858536
"TLN1",0.0429347839928959
"PREX2",0.041893581781666
