"clinival_var","score_clini"
"patient.genderfemale",0.36103
"X.clinical.patients..cols..infiltrating.ductal.carcinoma",0.35922
"HER2.Final.StatusNegative",0.35532
"patient.breast_carcinoma_progesterone_receptor_statusnegative",0.35518
"Node.CodedPositive",0.35165
"X.clinical.patients..cols..No_Conversion",0.35109
"patient.breast_carcinoma_estrogen_receptor_statusnegative",0.35058
"NA(27,32]",0.34358
"patient.breast_carcinoma_estrogen_receptor_statuspositive",0.011961
"patient.breast_carcinoma_progesterone_receptor_statuspositive",0.0070525
