"clinival_var","score_clini"
"X.clinical.patients..cols..Stage.IIA",1.71312667872405
"patient.breast_carcinoma_progesterone_receptor_statusnegative",2.2183060410268
"patient.breast_carcinoma_estrogen_receptor_statusnegative",2.80052133923811
"NA.54.59.",3.13140943799516
"NA.64.70.",3.1395798465216
"X.clinical.patients..cols..Stage.I",3.60226416266443
"X.clinical.patients..cols..Stage.IIIA",3.93046024674778
"X.clinical.patients..cols..Stage.IIB",3.9985510063249
"NA.43.49.",4.35687788474198
"NA.76.82.",4.39749664319884
