"clinival_var","score_clini"
"Metastasis.CodedPositive",6.07212590387683e-05
"patient.ethnicityhispanic.or.latino",-0.00074508562233295
"HER2.Final.StatusEquivocal",-0.00106946598893532
"X.clinical.patients..cols..mixed.histology..please.specify.",-0.00137691945365422
"X.clinical.patients..cols..other..specify",-0.00283397947420836
"NA.70.76.",-0.00371718512197024
"X.clinical.patients..cols..infiltrating.lobular.carcinoma",-0.00395067295796523
"NA.43.49.",-0.00655809419788656
"X.clinical.patients..cols..Stage.I",-0.00847046080443432
"NA.82.89.",-0.00866403410114404
