"geneName","geneScore"
"GATA3",378.292315129871
"RUNX1",399.485998624597
"FAT3",404.034980631371
"RP11-32B5.7",405.859563210445
"MAP2K4",406.312945504113
"SPEG",407.440044796454
"TRERF1",407.758998570789
"WNK3",408.026024902189
"PIK3R1",408.39049941536
"DSPP",408.504223336156
"LTBP4",408.516982135584
"NEK5",408.618253082909
"CDH1",409.717857167358
"NBEAL2",409.7634995507
"UTP20",409.827129842469
"MAP2",410.05290375231
"OBSCN",410.203513849213
"RIPK1",410.283121592599
"MYCBP2",410.365611585329
"BCOR",410.564499891559
"MGA",410.69030928764
"HCFC1",410.786860947235
"DOCK11",411.132394527693
"ERCC6L2",411.176280690624
"CAPN1",411.289098701985
"UNC5D",411.461003270712
"CFH",411.51481868675
"SCN7A",411.547707053707
"PTEN",411.861400207649
"CTCF",411.868058542172
"ABCA13",411.899191491826
"AKT1",411.917580939491
"TBX3",411.995641732688
"CD163L1",412.119977145072
"RBMXL3",412.145872513579
"LINC00869",412.168767031924
"TAF1L",412.209254514417
"FAM47C",412.225018501031
"TG",412.4388683544
"RLF",412.607736793168
"SDK1",412.888308701078
"RP11-404K5.2",412.913484421992
"GPR98",412.93193556891
"HRNR",413.029934306378
"SF3B1",413.121400602417
"MXRA5",413.157029298305
"PRKG2",413.310156767983
"ZNF536",413.341967989901
"DNAH3",413.36474967388
"WWP2",413.375081382996
"MYB",413.404791094236
"EPG5",413.455177626608
"CCNB3",413.532435159992
"AMPD1",413.572462170715
"LAMA2",413.643636149771
"HECW1",413.658636885182
"CACNA1F",413.693515733514
"DNAH6",413.85124674542
"FLII",413.900536321181
"NHSL2",413.926595798284
"Unknown",414.231547965327
"NINL",414.24799091182
"ABCA4",414.306219588893
"EMR2",414.343058827803
"AKAP17A",414.566708762996
"FRMPD4",414.570840370869
"PLXNA4",414.59463116979
"OTOGL",414.597431877788
"SVEP1",414.598514548608
"MAGI2",414.622764434736
"MYOM3",414.628173758467
"LRBA",414.668171480204
"CCDC146",414.796718972971
"CDC42BPA",414.811740600152
"PCDH15",414.873816875761
"SPATA31D1",414.898555023459
"CA9",415.149738283257
"QSER1",415.219945603109
"MADD",415.233330547171
"SEMA5A",415.357063128119
"THSD7B",415.39011148703
"RP11-32B5.1",415.39994636298
"ERBB2",415.420334403665
"RB1",415.572039779151
"CACNA1B",415.645274965622
"CSPG4P11",415.662580367618
"PCDHB7",415.712689690658
"NRK",415.799386261431
"ABCC8",415.907665144823
"CMYA5",415.912209132535
"CHD1L",415.931368466052
"PLXNA2",416.016340764075
"ARID1B",416.016345815946
"PDCD11",416.037050864831
"LAMA3",416.091689847282
"COL6A2",416.241930781907
"MYH4",416.249903770431
"NEB",416.25993182354
"MST1L",416.388156851092
"PLCB4",416.396758086053
"MYO18B",416.435938189062
"FLNB",416.441006685803
"ATRX",416.454012411871
"ERBB4",416.478041793542
"LPA",416.505234966635
"SETDB1",416.505881207674
"VWA3A",416.524376552092
"NF1",416.550341141898
"PDXDC1",416.566917212421
"RP11-1055B8.7",416.583105645592
"TBL1XR1",416.585701727021
"GRIK2",416.589888345393
"PDE4DIP",416.596451026806
"CEP170",416.602574327425
"AHNAK",416.610633364711
"COL6A6",416.622015117888
"MYO9A",416.71547617214
"KAT6B",416.737727654256
"RGAG1",416.752682931723
"ZDBF2",416.771775577619
"IARS",416.790552543562
"LAMA5",416.820960004943
"NRP2",416.82420252372
"FER1L5",416.872195601099
"FAM90A1",416.888332563018
"OR2G3",416.929989688529
"DSCAML1",417.094016453855
"MUC17",417.11150628199
"DGKI",417.126607361736
"STAG1",417.238954000291
"TSC22D1",417.2766774318
"DSP",417.327848923536
"SCN11A",417.348543933814
"PTPRB",417.423838088164
"UNC13C",417.4396309557
"MGAM",417.463226296141
"FAT2",417.471842548075
"ATP11A",417.476074159042
"CR1",417.713498751543
"BZRAP1",417.765345462829
"AHCTF1",417.7844527313
"CFTR",417.815247052065
"PRAME",417.859652744677
"GRIN2B",417.866777919264
"DNAH2",417.975027184624
"HERC1",418.037589155631
"UTRN",418.039230902003
"GOLGB1",418.084671908249
"WDR33",418.115632814964
"ERV3-1",418.132761260219
"SHROOM4",418.173395024829
"DDX12P",418.28311912882
"MAST1",418.323446974697
"RFPL1",418.327478796555
"WDR17",418.333393645101
"NOTCH2",418.388922804675
"PRKD2",418.436076562686
"PRRC2B",418.524976551573
"PREX1",418.59300147412
"KIAA1210",418.663688977484
"RNF213",418.715514329553
"ANO5",418.719765261621
"KIF13A",418.762479434212
"DNAH1",418.776587214784
"RIF1",418.789510841774
"PLCL2",418.823854578882
"VPS13C",418.826185035737
"SVILP1",418.834175105482
"ADAD2",418.834385857938
"ZEB2",418.849851902676
"DYSF",418.867794516038
"DYNC2H1",418.909616431092
"CDH9",418.923009239616
"MYH9",418.947049484643
"SCN2A",418.963157819251
"RBM19",419.036254003891
"C10orf12",419.063896524333
"FREM2",419.110583809527
"TOPBP1",419.185500594183
"NLRC4",419.188835273029
"CSMD2",419.205478840659
"RPGR",419.209995134265
"ZFHX3",419.230428293647
"ANKRD36C",419.237598792522
"FMN2",419.332295896919
"CCDC168",419.36960663434
"NOTCH4",419.379752820846
"PCLO",419.389508324143
"AIM1",419.39010339553
"CSMD1",419.391194825562
"NKAIN4",419.393384086637
"GRID1",419.458114772063
"MAST4",419.492933183564
"SCN1A",419.614817030143
"TRAPPC10",419.61708011016
"KMT2D",419.67000418389
"TENM4",419.709983355082
"HECTD4",419.733591917305
"PLCE1",419.74307080204
"ZFPM2",419.763232002187
