"geneName","geneScore"
"TP53",0.353554060283357
"Unknown",0.323839031573632
"KMT2C",0.278703823133447
"TTN",0.25501842217485
"CROCCP2",0.241732615012309
"MUC16",0.240327181463113
"MUC4",0.212595193690054
"SPI1",0.201414518620586
"PKD1L1",0.196730868506359
"SYNE2",0.195965603776794
"SPEN",0.19446557828443
"VCAN",0.192808886759463
"UBR4",0.19192498404569
"KMT2A",0.191700953357452
"LRP2",0.190757609231914
"CFTR",0.185454069460639
"BLM",0.185238146657565
"DSE",0.184799178235813
"DYNC2H1",0.184583828849847
"HYDIN",0.182734243787607
"ANK3",0.182029708769787
"KCNH7",0.181802542896243
"PTPRD",0.180052068312872
"USP34",0.179767114549885
"KIAA2022",0.179719912495573
"UBA6",0.179652730337282
"MED12",0.178966601605722
"WDFY3",0.178648076027573
"ROR1",0.178233323057774
"DLG1",0.177851082607052
"N4BP2",0.177762441084889
"DNAH11",0.176824242212433
"CHGB",0.176444208044594
"BAZ2B",0.176143724109833
"NBPF1",0.175710009252801
"GON4L",0.175186813239111
"NLRC4",0.174933207573134
"HECW2",0.174632437235804
"SYCP2",0.174240317204266
"EPHA5",0.17373356012622
"PTPN22",0.173220700165631
"WDR7",0.171742059008761
"PDZD2",0.170775751953715
"ATP7A",0.169594775386135
"ABCB11",0.16914141576687
"BIRC6",0.168822522964392
"NRXN3",0.167168932600685
"ZFHX4",0.0387064939684738
"QSER1",0.0354646807153316
"CIT",0.0281032046285848
"RP11-32B5.7",0.0251834012927632
"DNAH9",0.0251742483844554
"SRCAP",0.0241301491523208
"PCNXL2",0.0239934322526808
"MYT1L",0.0239674416252748
"EVPL",0.0236540007086189
"MYH14",0.0220536518507218
"FAT2",0.0214226812055506
"PIK3CA",0.0209662771523031
"SETX",0.0209414721554198
"MLLT4",0.0207932942368538
"CACNA1C",0.0202633628857294
"OBSCN",0.0196743979313196
"RGAG1",0.0192419135772427
"FAT3",0.0191000498196389
"MAST4",0.0188799392208509
"MAGI2",0.0186638978748674
"SI",0.0184580959991441
"LAMA5",0.0180449314277624
"PDCD11",0.0177669926722396
"IARS",0.0176361096666386
"CAPN1",0.0175813135121451
"FREM1",0.0175284536348601
"SACS",0.0173707715463435
"TG",0.0173422533757607
"MYOM3",0.0171763001753814
"SCN10A",0.0171569072734853
"KDM5C",0.0170937057367938
"MGAM",0.0170540113821103
"GTSE1",0.0170497175364223
"GRID1",0.016877279521603
"HSPG2",0.0167572600460515
"ZFPM2",0.0166061916300836
"TRERF1",0.0164958493129416
"TCHH",0.0164511842578616
"RTTN",0.0164228884507959
"MAP2K4",0.0163552044985937
"C10orf12",0.015952373392392
"CA9",0.0157424310239584
"ZDBF2",0.0156526537446922
"CACNA1E",0.0155118737371492
"TACC2",0.0154363966309752
"ABCA4",0.0150648315139683
"MGA",0.0150576853724449
"FAT1",0.0150044483010472
"GPR98",0.014904175275721
"ATP10B",0.014854309459823
"LAMA2",0.0148371595953224
"ASPM",0.0147257540895594
"PCDHGB6",0.0146634249113551
"EYS",0.0144925757478434
"NRP2",0.0144610304887908
"PIK3R1",0.0144509828767832
"ERV3-1",0.0144288037818647
"C5orf42",0.0142391997159879
"FLII",0.0142355651563719
"ERCC6",0.0140779412552294
"GNPTAB",0.0140764752619848
"CSMD1",0.0138928622174401
"ITPKB",0.0138224890339317
"NID1",0.0137998219323553
"WDR33",0.0136415992233444
"SMARCA4",0.0136376643630606
"PPP1R9A",0.0135541837862037
"PRAME",0.0134940431403547
"UTRN",0.0133148279513314
"EMR2",0.0131871232659965
"FMN2",0.0130258453892618
"LAMB1",0.0129511784802849
"NEB",0.0128651991409261
"HUWE1",0.0127944268547276
"PRKD2",0.0127824172901837
"GRIK2",0.0126181686461784
"COL6A2",0.0123564494844193
"CCDC168",0.0123007561276912
"BRIP1",0.0122916423385758
"STAG1",0.012259375687546
"C1orf222",0.0122338377514413
"RAB3GAP2",0.0120283760120876
