Input	Match type	Approved symbol	Approved name	HGNC ID	Location
TRPC7	Approved symbol	TRPC7	transient receptor potential cation channel subfamily C member 7	HGNC:20754	5q31.1
TRPC7	Previous symbol	TRPM2	transient receptor potential cation channel subfamily M member 2	HGNC:12339	21q22.3
BAI2	Previous symbol	ADGRB2	adhesion G protein-coupled receptor B2	HGNC:944	1p35.2
LRRC41	Approved symbol	LRRC41	leucine rich repeat containing 41	HGNC:16917	1p34.1-p33
C1orf173	Previous symbol	ERICH3	glutamate rich 3	HGNC:25346	1p31.1
SSX2IP	Approved symbol	SSX2IP	SSX family member 2 interacting protein	HGNC:16509	1p22.3
NTNG1	Approved symbol	NTNG1	netrin G1	HGNC:23319	1p13.3
NTNG1	Previous symbol	NTNG2	netrin G2	HGNC:14288	9q34.13
PGLYRP3	Approved symbol	PGLYRP3	peptidoglycan recognition protein 3	HGNC:30014	1q21.3
FCRL5	Approved symbol	FCRL5	Fc receptor like 5	HGNC:18508	1q23.1
FBXO28	Approved symbol	FBXO28	F-box protein 28	HGNC:29046	1q42.11
OR2M2	Approved symbol	OR2M2	olfactory receptor family 2 subfamily M member 2	HGNC:8268	1q44
MAP4K3	Approved symbol	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	HGNC:6865	2p22.1
C2orf78	Approved symbol	C2orf78	chromosome 2 open reading frame 78	HGNC:34349	2p13.1
MALL	Approved symbol	MALL	mal, T cell differentiation protein like	HGNC:6818	2q13
NEB	Approved symbol	NEB	nebulin	HGNC:7720	2q23.3
LRP2	Approved symbol	LRP2	LDL receptor related protein 2	HGNC:6694	2q31.1
MAP2	Approved symbol	MAP2	microtubule associated protein 2	HGNC:6839	2q34
MAP2	Synonyms	METAP2	methionyl aminopeptidase 2	HGNC:16672	12q22
STK36	Approved symbol	STK36	serine/threonine kinase 36	HGNC:17209	2q35
BRPF1	Approved symbol	BRPF1	bromodomain and PHD finger containing 1	HGNC:14255	3p25.3
WNT7A	Approved symbol	WNT7A	Wnt family member 7A	HGNC:12786	3p25.1
CSRNP1	Approved symbol	CSRNP1	cysteine and serine rich nuclear protein 1	HGNC:14300	3p22.2
