sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"ANK3","Approved symbol","ANK3","ankyrin 3","HGNC:494","10q21.2"
"HECTD4","Approved symbol","HECTD4","HECT domain E3 ubiquitin protein ligase 4","HGNC:26611","12q24.13"
"COL14A1","Approved symbol","COL14A1","collagen type XIV alpha 1 chain","HGNC:2191","8q24.12"
"FNDC1","Approved symbol","FNDC1","fibronectin type III domain containing 1","HGNC:21184","6q25.3"
"LRBA","Approved symbol","LRBA","LPS responsive beige-like anchor protein","HGNC:1742","4q31.3"
"LRP2","Approved symbol","LRP2","LDL receptor related protein 2","HGNC:6694","2q31.1"
"RP1","Approved symbol","RP1","RP1, axonemal microtubule associated","HGNC:10263","8q11.23-q12.1"
"RP1","Synonyms","STK19","serine/threonine kinase 19","HGNC:11398","6p21.33"
"RP1","Synonyms","MAPRE2","microtubule associated protein RP/EB family member 2","HGNC:6891","18q12.1-q12.2"
"AKAP17A","Approved symbol","AKAP17A","A-kinase anchoring protein 17A","HGNC:18783","Xp22.33 and Yp11.32"
"CDH1","Approved symbol","CDH1","cadherin 1","HGNC:1748","16q22.1"
"CDH1","Synonyms","FZR1","fizzy and cell division cycle 20 related 1","HGNC:24824","19p13.3"
"UBR4","Approved symbol","UBR4","ubiquitin protein ligase E3 component n-recognin 4","HGNC:30313","1p36.13"
"SPI1","Approved symbol","SPI1","Spi-1 proto-oncogene","HGNC:11241","11p11.2"
"MED23","Approved symbol","MED23","mediator complex subunit 23","HGNC:2372","6q23.2"
"MGA","Approved symbol","MGA","MGA, MAX dimerization protein","HGNC:14010","15q15"
"MGA","Synonyms","MGAM","maltase-glucoamylase","HGNC:7043","7q34"
"UNC13C","Approved symbol","UNC13C","unc-13 homolog C","HGNC:23149","15q21.3"
"ZFHX4","Approved symbol","ZFHX4","zinc finger homeobox 4","HGNC:30939","8q21.13"
"AHCTF1","Approved symbol","AHCTF1","AT-hook containing transcription factor 1","HGNC:24618","1q44"
"BRCA1","Approved symbol","BRCA1","BRCA1, DNA repair associated","HGNC:1100","17q21.31"
"CSMD1","Approved symbol","CSMD1","CUB and Sushi multiple domains 1","HGNC:14026","8p23.2"
"CUBN","Approved symbol","CUBN","cubilin","HGNC:2548","10p13"
"DMD","Approved symbol","DMD","dystrophin","HGNC:2928","Xp21.2-p21.1"
"DNAH8","Approved symbol","DNAH8","dynein axonemal heavy chain 8","HGNC:2952","6p21.2"
"TMEM189","Approved symbol","TMEM189","transmembrane protein 189","HGNC:16735","20q13.13"
"EVPL","Approved symbol","EVPL","envoplakin","HGNC:3503","17q25.1"
"GOLGB1","Approved symbol","GOLGB1","golgin B1","HGNC:4429","3q13.33"
"GPR179","Approved symbol","GPR179","G protein-coupled receptor 179","HGNC:31371","17q12"
"HYDIN","Approved symbol","HYDIN","HYDIN, axonemal central pair apparatus protein","HGNC:19368","16q22.2"
"KCNT2","Approved symbol","KCNT2","potassium sodium-activated channel subfamily T member 2","HGNC:18866","1q31.3"
"SVILP1","Previous symbol","SVIL2P","supervillin family member 2, pseudogene","HGNC:44959","10p11.23"
"MUC12","Approved symbol","MUC12","mucin 12, cell surface associated","HGNC:7510","7q22.1"
"PLCE1","Approved symbol","PLCE1","phospholipase C epsilon 1","HGNC:17175","10q23.33"
"PREX1","Approved symbol","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1","HGNC:32594","20q13.13"
"RYR2","Approved symbol","RYR2","ryanodine receptor 2","HGNC:10484","1q43"
"USH2A","Approved symbol","USH2A","usherin","HGNC:12601","1q41"
"WDR7","Approved symbol","WDR7","WD repeat domain 7","HGNC:13490","18q21.31"
"CROCCP2","Approved symbol","CROCCP2","ciliary rootlet coiled-coil, rootletin pseudogene 2","HGNC:28170","1p36.13"
"Unknown","Unmatched","","","",""
"GNPTAB","Approved symbol","GNPTAB","N-acetylglucosamine-1-phosphate transferase subunits alpha and beta","HGNC:29670","12q23.2"
"NLRC5","Approved symbol","NLRC5","NLR family CARD domain containing 5","HGNC:29933","16q13"
